,,,,,Planta 1,,,,,,,,,,Planta 2,,,,,,,,,,Planta 3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Data:,,,,,S1 - flor,,,Fruto,,,,,,,S1 - flor,,,Fruto,,,,,,,S1 - flor,,,Fruto,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fazenda,Tratamento,BLOCO,RAMO,NÓ,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,RV,,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,RV,,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,RV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vicente,T1,1,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tratamentos,Parcelas,,,Réplica 1 (Parcela),,,,,,,,,,Réplica 2 (Parcela),,,,,,,,,,Réplica 3 (Parcela),,,,,,,,,,Réplica 4 (Parcela),,,,,,,,,,,
,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T1,T1 – 5 mg/planta (200 ml) de Harvista => 125 mg em 5 L,1-7-13-19,,Tratam.,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,Total,RV,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,Total,RV,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,Total,RV,Gemas,Star,Chum.,Verde,Parcial,Verm.,Passa,Secos,Total,RV,,
,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T2,T2 – 10 mg/planta (200 ml) de Harvista => 250 mg em 5 L,2-8-14-20,,T1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,Esq.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T3,T3 – 15 mg/planta (200 ml) de Harvista => 375 mg em 5 L,3-9-15-21,,T2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T4,T4 – 20 mg/planta (200 ml) de Harvista => 500 mg em 5 L,4-10-16-22,,T3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T5,T5 – 25 mg/planta (200 ml) de Harvista => 625 mg em 5 L,5-11-17-23,,T4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
,T2,2,Dir.,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,T6,T6 – Testemunha (Nada),6-12-18-24,,T5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,
